"intervention","Date","rno_alc_all","rdv_alc_related_all","ryoung_all","rold_all","total_alc_sales","unemployment_rate","sm_ridership","fuel_prices","arrests","dwi_arrests","percent_DWI_arrests","rfatal_crash_all","ralc_fatal_all","Date_MMMYYYY","time.points","crash_sanantonio","crash_arlington","crash_austin","crash_brownsville","crash_corpus_christi","crash_dallas","crash_elpaso","crash_fworth","crash_houston","crash_laredo","crash_mcallen","crash_plano","crash_sanantonio_rate","crash_arlington_rate","crash_austin_rate","crash_brownsville_rate","crash_corpus_christi_rate","crash_dallas_rate","crash_elpaso_rate","crash_fworth_rate","crash_houston_rate","crash_laredo_rate","crash_mcallen_rate","crash_plano_rate"
"Pre-initiative",2023-01-01,241.9403,6.895813,2.64095,3.521266,16312919,4.5,477996,2.96,1192,160,13.422819,1.320475,0.4401583,"Jan2023",25,157,56,106,20,25,109,48,33,199,6,26,16,10.9436263832012,14.2036087311612,11.0203720935068,10.710192890574,7.86502361080088,8.35646694710663,7.07114604126308,3.59119178596497,8.63497904173428,2.35105111576968,18.2828211799452,5.60432093143814
"Pre-initiative",2023-02-01,216.5579,5.428619,2.200791,2.934389,16431152,4.6999998,461602,2.9809999,987,123,12.462006,0.4401583,0.1467194,"Feb2023",26,151,52,102,13,27,96,38,43,186,9,25,14,10.5253986233336,13.189065250364,10.6045089956386,6.96162537887307,8.49422549966495,7.35982410020401,5.59799061599994,4.67943172110587,8.07088493348029,3.52657667365451,17.5796357499473,4.90378081500837
"Pre-initiative",2023-03-01,230.6429,7.62941,2.934389,3.961425,19036642,4.3000002,494618,3.0320001,1355,153,11.291512,0.8803166,0,"Mar2023",27,167,50,106,6,43,87,54,48,157,18,13,19,11.6406726496471,12.6817935099654,11.0203720935068,3.21305786717219,13.5278406105775,6.66984059080988,7.95503929642097,5.22355168867632,6.81252115352906,7.05315334730903,9.14141058997258,6.65513110608279
"Pre-initiative",2023-04-01,229.7626,7.042532,3.374547,3.374547,18734084,3.8,491874,3.2309999,1267,166,13.101815,0.2934389,0.2934389,"Apr2023",28,154,54,97,8,25,96,49,70,205,20,18,16,10.7345125032674,13.6963369907626,10.0846801233034,4.28407715622958,7.86502361080088,7.35982410020401,7.2184615837894,7.6176795459863,8.89533016862075,7.83683705256558,12.657337739962,5.60432093143814
"Pre-initiative",2023-05-01,243.9944,6.162216,2.49423,3.227827,18665788,4.0999999,515250,3.0669999,1170,147,12.564102,1.027036,0.5868777,"May2023",29,162,36,108,13,34,78,45,49,202,17,17,19,11.2921495164242,9.13089132717506,11.2283036424409,6.96162537887307,10.6964321106892,5.97985708141575,6.62919941368414,5.33237568219041,8.76515460517752,6.66131149468075,11.9541523099641,6.65513110608279
"Pre-initiative",2023-06-01,216.8513,6.308935,1.907353,3.667986,18688820,4.3000002,471462,3.1270001,1195,119,9.9581594,0.7335972,0.1467194,"Jun2023",30,125,44,85,6,32,70,47,39,195,13,18,11,8.71307833057419,11.1599782887695,8.83709082969886,3.21305786717219,10.0672302218251,5.36653840639875,6.92383049873677,4.24413574704951,8.46141162380998,5.09394408416763,12.657337739962,3.85297064036372
"Pre-initiative",2023-07-01,210.2489,7.042532,2.934389,3.667986,18314404,4.5999999,421166,3.2309999,1228,171,13.925081,1.467194,0.4401583,"Jul2023",31,162,43,122,7,41,79,49,51,221,9,22,21,11.2921495164242,10.9063424185702,12.6838244849795,3.74856751170089,12.8986387217134,6.05652191579288,7.2184615837894,5.55002366921859,9.58959984031797,3.52657667365451,15.4700794599536,7.35567122251256
"Pre-initiative",2023-08-01,257.3459,7.482691,3.667986,3.667986,17346154,4.5999999,538701,3.434,1298,132,10.169492,0.8803166,0.4401583,"Aug2023",32,153,46,86,12,24,75,51,48,167,3,23,16,10.6648078766228,11.6672500291681,8.94105660416591,6.42611573434438,7.55042266636884,5.74986257828438,7.51309266884203,5.22355168867632,7.24643969833983,1.17552555788484,16.1732648899515,5.60432093143814
"Pre-initiative",2023-09-01,221.5463,6.749094,2.787669,2.934389,17718978,4.3000002,540573,3.388,1162,160,13.769363,0.4401583,0,"Sep2023",33,161,43,83,10,32,87,48,35,199,8,13,17,11.2224448897796,10.9063424185702,8.62915928076477,5.35509644528698,10.0672302218251,6.66984059080988,7.07114604126308,3.80883977299315,8.63497904173428,3.13473482102623,9.14141058997258,5.95459098965302
"Pre-initiative",2023-10-01,240.6199,5.722058,3.227827,2.200791,16214658,4.1999998,560925,3.089,1137,147,12.92876,0.8803166,0.1467194,"Oct2023",34,142,49,90,17,31,77,41,38,187,13,21,16,9.89805698353228,12.428157639766,9.35691970203409,9.10366395698787,9.75262927739309,5.90319224703863,6.03993724357888,4.13531175353542,8.11427678796136,5.09394408416763,14.7668940299557,5.60432093143814
"Pre-initiative",2023-11-01,216.1177,6.308935,3.521266,2.787669,15983778,3.9000001,542278,2.734,1179,156,13.231552,1.173755,0.1467194,"Nov2023",35,164,47,97,12,30,85,46,48,196,6,24,19,11.4315587697133,11.9208858993674,10.0846801233034,6.42611573434438,9.43802833296106,6.51651092205563,6.77651495621046,5.22355168867632,8.50480347829106,2.35105111576968,16.8764503199494,6.65513110608279
"Pre-initiative",2023-12-01,233.1372,8.216288,2.934389,4.401583,19494494,3.8,489042,2.6040001,1169,158,13.515825,1.173755,0.4401583,"Dec2023",36,178,65,91,14,32,133,59,41,239,12,16,30,12.4074235427377,16.486331562955,9.46088547650113,7.49713502340177,10.0672302218251,10.1964229721576,8.69161700905254,4.46178373407769,10.3706532209774,4.70210223153935,11.2509668799662,10.5081017464465
"Pre-initiative",2024-01-01,222.8178,6.307547,2.493681,3.227117,14928280,4.3000002,467881,2.6559999,1158,158,13.644215,0.7334358,0.4400614,"Jan2024",37,141,36,90,16,25,77,44,34,185,5,10,16,9.82835235688769,9.13089132717506,9.35691970203409,8.56815431245917,7.86502361080088,5.90319224703863,6.48188387115783,3.70001577947906,8.02749307899921,1.9592092631414,7.0318542999789,5.60432093143814
"Pre-initiative",2024-02-01,210.9361,5.867486,2.787056,3.08043,16164208,4.4000001,488869,2.825,1163,142,12.209803,0.7334358,0.2933743,"Feb2024",38,154,32,77,13,30,79,41,25,204,10,13,16,10.7345125032674,8.11634784637783,8.0053646339625,6.96162537887307,9.43802833296106,6.05652191579288,6.03993724357888,2.72059983785225,8.85193831413967,3.91841852628279,9.14141058997258,5.60432093143814
"Pre-initiative",2024-03-01,217.537,6.014173,2.05362,3.227117,19537556,4.0999999,440771,2.9920001,1258,167,13.27504,0.4400614,0.1466872,"Mar2024",39,169,47,83,10,32,91,41,49,203,11,7,31,11.7800819029363,11.9208858993674,8.62915928076477,5.35509644528698,10.0672302218251,6.97649992831838,6.03993724357888,5.33237568219041,8.80854645965859,4.31026037891107,4.92229800998523,10.8583718046614
"Pre-initiative",2024-04-01,235.1395,8.067793,2.346994,5.427424,18175770,3.7,558439,3.1400001,1334,160,11.994003,0.7334358,0.2933743,"Apr2024",40,115,40,74,13,21,77,56,34,174,11,11,16,8.01603206412826,10.1454348079723,7.69346731056136,6.96162537887307,6.60661983307274,5.90319224703863,8.2496703814736,3.70001577947906,7.55018267970737,4.31026037891107,7.7350397299768,5.60432093143814
"Pre-initiative",2024-05-01,243.2073,6.894296,2.640369,3.960553,19671960,3.9000001,558292,3.1389999,1306,152,11.638591,1.02681,0.4400614,"May2024",41,142,34,103,16,33,58,48,50,196,7,21,12,9.89805698353228,8.62361958677644,10.7084747701057,8.56815431245917,10.3818311662572,4.44656039387325,7.07114604126308,5.4411996757045,8.50480347829106,2.74289296839795,14.7668940299557,4.2032406985786
"Pre-initiative",2024-06-01,211.5229,7.481044,2.933743,3.667179,18975800,4.5,478754,2.974,1251,162,12.94964,0.7334358,0.2933743,"Jun2024",42,141,56,76,10,36,67,51,23,193,5,16,13,9.82835235688769,14.2036087311612,7.90139885949545,5.35509644528698,11.3256339995533,5.13654390326738,7.51309266884203,2.50295185082407,8.37462791484782,1.9592092631414,11.2509668799662,4.55351075679349
"Post-intitiative",2024-07-01,203.8951,5.427424,1.760246,3.08043,17172352,4.5,485347,3.039,1287,133,10.33411,0.8801228,0,"Jul2024",43,111,38,101,12,22,64,38,38,196,8,18,15,7.73721355754988,9.63816306757367,10.5005432211716,6.42611573434438,6.92122077750477,4.906549400136,5.59799061599994,4.13531175353542,8.50480347829106,3.13473482102623,12.657337739962,5.25405087322325
"Post-intitiative",2024-08-01,243.5007,5.574111,1.906933,3.373804,18806898,4.5,579703,2.9360001,1335,147,11.011236,1.02681,0.2933743,"Aug2024",44,132,51,105,7,25,75,40,50,201,12,15,16,9.20101071708635,12.9354293801647,10.9164063190398,3.74856751170089,7.86502361080088,5.74986257828438,5.89262170105257,5.4411996757045,8.72176275069644,4.70210223153935,10.5477814499684,5.60432093143814
"Post-intitiative",2024-09-01,226.1916,4.693989,1.760246,2.640369,17189740,4.0999999,580801,2.7279999,1210,129,10.661157,0.7334358,0.2933743,"Sep2024",45,124,49,98,14,31,74,34,34,200,9,9,11,8.6433737039296,12.428157639766,10.1886458977705,7.49713502340177,9.75262927739309,5.67319774390725,5.00872844589468,3.70001577947906,8.67837089621536,3.52657667365451,6.32866886998101,3.85297064036372
"Post-intitiative",2024-10-01,233.0859,6.747609,3.960553,2.493681,16746626,4.0999999,597997,2.675,1203,137,11.388196,1.173497,0.4400614,"Oct2024",46,127,34,106,15,31,84,47,40,205,11,16,21,8.85248758386338,8.62361958677644,11.0203720935068,8.03264466793047,9.75262927739309,6.4398460876785,6.92383049873677,4.3529597405636,8.89533016862075,4.31026037891107,11.2509668799662,7.35567122251256
"Post-intitiative",2024-11-01,217.8304,6.014173,3.08043,2.493681,17557520,4.1999998,487524,2.563,1153,145,12.575889,0.8801228,0,"Nov2024",47,143,42,108,18,30,89,43,48,212,9,10,16,9.96776161017688,10.6527065483709,11.2283036424409,9.63917360151656,9.43802833296106,6.82317025956413,6.33456832863151,5.22355168867632,9.19907314998828,3.52657667365451,7.0318542999789,5.60432093143814
"Post-intitiative",2024-12-01,218.5638,6.747609,2.640369,3.373804,19123040,3.7,498315,2.543,1210,135,11.157024,0.7334358,0.1466872,"Dec2024",48,146,32,103,16,31,85,48,51,199,18,16,19,10.1768754901107,8.11634784637783,10.7084747701057,8.56815431245917,9.75262927739309,6.51651092205563,7.07114604126308,5.55002366921859,8.63497904173428,7.05315334730903,11.2509668799662,6.65513110608279
"Post-intitiative",2025-01-01,197.2942,8.21448,3.813866,3.960553,15294804,4.1999998,476025,2.631,1259,151,11.993646,0.2933743,0.1466872,"Jan2025",49,119,33,79,18,20,75,59,43,144,16,18,23,8.29485057070663,8.36998371657713,8.21329618289659,9.63917360151656,6.2920188886407,5.74986257828438,8.69161700905254,4.67943172110587,6.24842704527506,6.26946964205247,12.657337739962,8.05621133894232
"Post-intitiative",2025-02-01,212.403,6.014173,2.346994,2.787056,16020239,4.4000001,414379,2.6760001,1257,147,11.69451,0.7334358,0.1466872,"Feb2025",50,122,34,82,13,31,72,40,26,164,16,12,13,8.50396445064041,8.62361958677644,8.52519350629773,6.96162537887307,9.75262927739309,5.519868075153,5.89262170105257,2.82942383136634,7.1162641348966,6.26946964205247,8.43822515997469,4.55351075679349
"Post-intitiative",2025-03-01,212.403,5.427424,2.493681,2.493681,18867256,4.1999998,463193,2.6500001,1256,147,11.703821,1.02681,0.2933743,"Mar2025",51,146,43,126,23,26,85,41,52,186,8,15,24,10.1768754901107,10.9063424185702,13.0996875828477,12.3167218241601,8.17962455523291,6.51651092205563,6.03993724357888,5.65884766273268,8.07088493348029,3.13473482102623,10.5477814499684,8.40648139715721
"Post-intitiative",2025-04-01,228.6853,4.987363,2.493681,2.346994,17387504,3.9000001,514451,2.7090001,1349,120,8.8954782,0.2933743,0.1466872,"Apr2025",52,113,30,98,13,36,61,36,47,160,4,18,19,7.87662281083907,7.60907610597921,10.1886458977705,6.96162537887307,11.3256339995533,4.67655489700463,5.30335953094731,5.11472769516223,6.94269671697229,1.56736741051312,12.657337739962,6.65513110608279
"Post-intitiative",2025-05-01,238.9534,5.13405,1.02681,3.227117,20343128,4.1999998,505339,2.707,1439,167,11.605282,0.2933743,0,"May2025",53,153,40,81,13,48,71,39,45,171,15,13,18,10.6648078766228,10.1454348079723,8.42122773183068,6.96162537887307,15.1008453327377,5.44320324077588,5.74530615852626,4.89707970813405,7.42000711626414,5.87762778942419,9.14141058997258,6.30486104786791
"Post-intitiative",2025-06-01,204.9219,7.040983,2.933743,3.373804,18176904,4.1999998,455957,2.75,1364,154,11.290322,0.5867486,0.1466872,"Jun2025",54,99,29,77,9,29,61,49,72,164,11,16,16,6.90075803781476,7.3554402357799,8.0053646339625,4.81958680075828,9.12342738852902,4.67655489700463,7.2184615837894,7.83532753301448,7.1162641348966,4.31026037891107,11.2509668799662,5.60432093143814
"Post-intitiative",2025-07-01,210.056,5.720798,2.640369,2.933743,17230336,4.5,446922,2.678,1391,162,11.646297,0.5867486,0,"Jul2025",55,137,37,76,7,23,71,44,47,185,10,14,17,9.54953385030931,9.38452719737436,7.90139885949545,3.74856751170089,7.23582172193681,5.44320324077588,6.48188387115783,5.11472769516223,8.02749307899921,3.91841852628279,9.84459601997047,5.95459098965302
